Item Code,Item Name,Stock UOM
19L-BOTTLE-DEPOSIT,19L Bottle Security Deposit,Nos
CHEM-ANTISCALE,RO Antiscalant Liquid,Litre
FG-19L-REFILL,Wateena 19L (Refill),Nos
FG-WATER-0.5L-12,Wateena Water - 500ml x 12 Pack,Pack
FG-WATER-1.5L-06,Wateena Water - 1.5L x 6 Pack,Pack
INT-BTL-0.5L,Empty PET Bottle - 500ml,Nos
INT-BTL-1.5L,Empty PET Bottle - 1.5L,Nos
INT-BULK-WATER,Purified Mineral Water (Bulk),Litre
MIN-CALCIUM,Calcium Mineral Salt,Gram
MIN-MAGNESIUM,Magnesium Mineral Salt,Gram
MIN-SODIUM,Sodium Mineral Salt,Gram
RM-CAP-28MM,28mm Standard Plastic Cap,Nos
RM-LBL-0.5L,Shrink Label - 500ml,Nos
RM-LBL-1.5L,Shrink Label - 1.5L,Nos
RM-PREFORM-15G,PET Preform - 15g (for 500ml),Kg
RM-PREFORM-30G,PET Preform - 30g (for 1.5L),Kg
RM-WATER,Raw Untreated Water,Litre
RM-WRAP-06X,Shrink Wrap Film (6-pack),Unit
RM-WRAP-12X,Shrink Wrap Film (12-pack),Unit
